item_category_name,item_category_id,Category_name
PC - Гарнитуры/Наушники,0,Ladies' Apparel
Аксессуары - PS2,1,Men's Apparel
Аксессуары - PS3,2,Kids' Apparel
Аксессуары - PS4,3,Plus Sizes
Аксессуары - PSP,4,Maternity
Аксессуары - PSVita,5,Activewear
Аксессуары - XBOX 360,6,Outerwear
Аксессуары - XBOX ONE,7,Swimwear
Билеты (Цифра),8,Sleepwear
Доставка товара,9,Suits & Blazers
Игровые консоли - PS2,10,Women's Shoes
Игровые консоли - PS3,11,Men's Shoes
Игровые консоли - PS4,12,Kids' Shoes
Игровые консоли - PSP,13,Boots
Игровые консоли - PSVita,14,Sneakers
Игровые консоли - XBOX 360,15,Sandals
Игровые консоли - XBOX ONE,16,Dress Shoes
Игровые консоли - Прочие,17,Casual Shoes
Игры - PS2,18,Handbags
Игры - PS3,19,Jewelry
Игры - PS4,20,Watches
Игры - PSP,21,Belts
Игры - PSVita,22,Hats
Игры - XBOX 360,23,Scarves
Игры - XBOX ONE,24,Sunglasses
Игры - Аксессуары для игр,25,Wallets
Игры Android - Цифра,26,Ties
Игры MAC - Цифра,27,Gloves
Игры PC - Дополнительные издания,28,Skincare
Игры PC - Коллекционные издания,29,Haircare
Игры PC - Стандартные издания,30,Makeup
Игры PC - Цифра,31,Fragrances
"Карты оплаты (Кино, Музыка, Игры)",32,Bath & Body
Карты оплаты - Live!,33,Beauty Tools
Карты оплаты - Live! (Цифра),34,Bedding
Карты оплаты - PSN,35,Kitchenware
Карты оплаты - Windows (Цифра),36,Home Décor
Кино - Blu-Ray,37,Furniture
Кино - Blu-Ray 3D,38,Lighting
Кино - Blu-Ray 4K,39,Rugs
Кино - DVD,40,Curtains
Кино - Коллекционное,41,Storage & Organization
"Книги - Артбуки, энциклопедии",42,Bathroom Accessories
Книги - Аудиокниги,43,Cleaning Supplies
Книги - Аудиокниги (Цифра),44,Baby Clothing
Книги - Аудиокниги 1С,45,Baby Toys
Книги - Бизнес литература,46,Nursery Furniture
"Книги - Комиксы, манга",47,Strollers
Книги - Компьютерная литература,48,Car Seats
Книги - Методические материалы 1С,49,Feeding Essentials
Книги - Открытки,50,Diapering
Книги - Познавательная литература,51,Baby Bedding
Книги - Путеводители,52,Bath Time
Книги - Художественная литература,53,Health & Safety
Книги - Цифра,54,Educational Toys
Музыка - CD локального производства,55,Plush Toys
Музыка - CD фирменного производства,56,Games & Puzzles
Музыка - MP3,57,Outdoor Play
Музыка - Винил,58,Arts & Crafts
Музыка - Музыкальное видео,59,Books
Музыка - Подарочные издания,60,Gift Sets
Подарки - Атрибутика,61,Party Supplies
"Подарки - Гаджеты, роботы, спорт",62,Holiday Décor
Подарки - Мягкие игрушки,63,Seasonal Clothing
Подарки - Настольные игры,64,Outdoor Decorations
Подарки - Настольные игры (компактные),65,Gifts & Novelties
"Подарки - Открытки, наклейки",66,Pet Food
Подарки - Развитие,67,Pet Toys
"Подарки - Сертификаты, услуги",68,Pet Beds
Подарки - Сувениры,69,Pet Grooming
Подарки - Сувениры (в навеску),70,Pet Accessories
"Подарки - Сумки, Альбомы, Коврики д/мыши",71,Suitcases
Подарки - Фигурки,72,Carry-ons
Программы - 1С:Предприятие 8,73,Travel Accessories
Программы - MAC (Цифра),74,Backpacks
Программы - Для дома и офиса,75,Duffel Bags
Программы - Для дома и офиса (Цифра),76,Headphones
Программы - Обучающие,77,Speakers
Программы - Обучающие (Цифра),78,Phone Accessories
Служебные,79,Smart Home Devices
Служебные - Билеты,80,Wearable Tech
Чистые носители (шпиль),81,Stationery
Чистые носители (штучные),82,Organizers
Элементы питания,83,Calendars & Planners
